EmpID,OrderNum,OrderDate,OrderType,Quantity,Price,Discount,OrderTotal,OrderDate_null
900015476,1100948,2017-09-03,Retail,1,44.95,0.0,44.95,False
900015476,1101096,2017-09-24,Wholesale,10,4.99,1.0,48.9,False
900015476,1101138,2017-10-01,Wholesale,4,250.0,50.0,950.0,False
900015476,1101158,2017-10-03,Retail,1,250.0,0.0,250.0,False
900015476,1101181,2017-10-09,Retail,1,13.99,0.0,13.99,False
900015476,1101354,2017-10-31,Wholesale,8,49.0,9.8,382.2,False
900015476,1101475,2017-11-18,Retail,1,599.0,0.0,599.0,False
900015476,1101495,2017-11-22,Wholesale,13,899.0,179.8,11507.2,False
900015476,1101685,2017-12-18,Retail,1,119.0,0.0,119.0,False
900015476,1101743,2017-12-27,Wholesale,6,179.0,35.8,1038.2,False
900015476,1101825,2018-01-08,Wholesale,4,189.0,37.8,718.2,False
900015476,1101839,2018-01-09,Wholesale,8,29.99,6.0,233.92,False
900015476,1101902,2018-01-19,Wholesale,5,7.99,1.6,38.35,False
900015476,1101926,2018-01-22,Wholesale,6,29.99,6.0,173.94,False
900015476,1101945,2018-01-25,Retail,1,19.99,0.0,19.99,False
900015476,1102052,2018-02-12,Wholesale,6,4.99,1.0,28.94,False
900015476,1102085,2018-02-18,Wholesale,9,24.99,5.0,219.91,False
900015476,1102227,2018-03-09,Wholesale,15,13.99,2.8,207.05,False
900015476,1102305,2018-03-21,Wholesale,9,37.99,7.6,334.31,False
900015476,1102306,2018-03-21,Wholesale,6,16.99,3.4,98.54,False
900015476,1102439,2018-04-11,Wholesale,9,8.99,1.8,79.11,False
900015476,1102469,2018-04-15,Retail,2,699.0,0.0,1398.0,False
900015476,1102578,2018-05-02,Wholesale,5,450.0,90.0,2160.0,False
900015476,1102680,2018-05-15,Retail,1,8.99,0.0,8.99,False
900015476,1102697,2018-05-18,Retail,1,12.0,0.0,12.0,False
900015476,1102745,2018-05-25,Wholesale,9,12.0,2.4,105.6,False
900015476,1103009,2018-07-01,Wholesale,8,189.0,37.8,1474.2,False
900015476,1103056,2018-07-07,Retail,1,49.95,0.0,49.95,False
900015476,1103206,2018-07-26,Retail,1,189.0,0.0,189.0,False
900015476,1103219,2018-07-27,Wholesale,53,69.0,13.8,3643.2,False
900015476,1103275,2018-08-03,Retail,1,15.5,0.0,15.5,False
900015476,1103291,2018-08-05,Retail,1,883.0,0.0,883.0,False
900015476,1103289,2018-08-05,Retail,1,16.99,0.0,16.99,False
900015476,1103301,2018-08-07,Retail,1,13.99,0.0,13.99,False
900015476,1103413,2018-08-22,Retail,1,16.75,0.0,16.75,False
900015476,1103565,2018-09-12,Wholesale,6,16.99,3.4,98.54,False
900015476,1103780,2018-10-16,Wholesale,8,15.5,3.1,120.9,False
900015476,1103787,2018-10-17,Retail,1,44.95,0.0,44.95,False
900015476,1103799,2018-10-18,Wholesale,78,44.95,8.99,3497.11,False
900015476,1103887,2018-11-02,Wholesale,6,599.0,119.8,3474.2,False
900015476,1104015,2018-11-20,Retail,1,37.99,0.0,37.99,False
900015476,1104089,2018-12-04,Retail,1,599.0,0.0,599.0,False
900015476,1104242,2018-12-23,Retail,1,222.0,0.0,222.0,False
900015476,1104323,2019-01-02,Wholesale,5,499.0,99.8,2395.2,False
900015476,1104380,2019-01-11,Wholesale,8,4.99,1.0,38.92,False
900015476,1104420,2019-01-19,Retail,4,19.99,0.0,79.96,False
900015476,1104433,2019-01-21,Retail,1,24.99,0.0,24.99,False
900015476,1104457,2019-01-26,Retail,1,49.0,0.0,49.0,False
900015476,1104578,2019-02-16,Wholesale,8,225.0,45.0,1755.0,False
900015476,1104768,2019-03-13,Retail,1,179.0,0.0,179.0,False
900015476,1104819,2019-03-20,Wholesale,7,17.5,3.5,119.0,False
900015476,1104837,2019-03-23,Wholesale,13,89.0,17.8,1139.2,False
900015476,1104910,2019-04-02,Wholesale,93,455.0,91.0,42224.0,False
900015476,1104934,2019-04-05,Retail,1,395.0,0.0,395.0,False
900015476,1105086,2019-04-27,Wholesale,9,4.99,1.0,43.91,False
900015476,1105153,2019-05-08,Wholesale,40,883.0,176.6,35143.4,False
900015476,1105307,2019-05-31,Wholesale,5,12.99,2.6,62.35,False
900015476,1105330,2019-06-03,Retail,1,24.99,0.0,24.99,False
900015476,1105362,2019-06-08,Retail,1,24.95,0.0,24.95,False
900015476,1105372,2019-06-09,Retail,1,12.0,0.0,12.0,False
900015476,1105403,2019-06-13,Wholesale,5,8.99,1.8,43.15,False
900015476,1105409,2019-06-14,Retail,1,36.99,0.0,36.99,False
900015476,1105415,2019-06-15,Wholesale,8,9.99,2.0,77.92,False
900015476,1105534,2019-07-03,Wholesale,8,37.99,7.6,296.32,False
900015476,1105626,2019-07-17,Wholesale,5,42.99,8.6,206.35,False
900015476,1105640,2019-07-19,Wholesale,12,89.0,17.8,1050.2,False
900015476,1105701,2019-07-30,Wholesale,11,20.95,4.19,226.26,False
900015476,1105770,2019-08-09,Wholesale,65,250.0,50.0,16200.0,False
900015476,1105783,2019-08-11,Wholesale,101,10.99,2.2,1107.79,False
900015476,1105866,2019-08-23,Retail,1,4.99,0.0,4.99,False
900015476,1105890,2019-08-27,Wholesale,10,11.99,2.4,117.5,False
900019884,1100988,2017-09-09,Wholesale,11,19.99,4.0,215.89,False
900019884,1100994,2017-09-10,Wholesale,8,450.0,90.0,3510.0,False
900019884,1101070,2017-09-20,Wholesale,8,7.99,1.6,62.32,False
900019884,1101101,2017-09-25,Wholesale,10,42.99,8.6,421.3,False
900019884,1101167,2017-10-05,Retail,1,24.95,0.0,24.95,False
900019884,1101311,2017-10-25,Wholesale,8,699.0,139.8,5452.2,False
900019884,1101388,2017-11-04,Retail,1,23.99,0.0,23.99,False
900019884,1101575,2017-12-03,Wholesale,6,10.99,2.2,63.74,False
900019884,1101622,2017-12-08,Wholesale,60,214.0,42.8,12797.2,False
900019884,1101697,2017-12-21,Retail,1,24.99,0.0,24.99,False
900019884,1101798,2018-01-04,Wholesale,11,19.5,3.9,210.6,False
900019884,1101932,2018-01-23,Wholesale,10,190.0,38.0,1862.0,False
900019884,1102041,2018-02-10,Wholesale,8,179.0,35.8,1396.2,False
900019884,1102152,2018-02-28,Retail,2,225.0,0.0,450.0,False
900019884,1102188,2018-03-05,Wholesale,10,29.99,6.0,293.9,False
900019884,1102216,2018-03-09,Retail,2,189.0,0.0,378.0,False
900019884,1102238,2018-03-11,Retail,1,7.99,0.0,7.99,False
900019884,1102313,2018-03-22,Wholesale,8,69.0,13.8,538.2,False
900019884,1102437,2018-04-11,Retail,1,899.0,0.0,899.0,False
900019884,1102460,2018-04-14,Wholesale,9,44.95,8.99,395.56,False
900019884,1102589,2018-05-04,Wholesale,7,37.99,7.6,258.33,False
900019884,1102666,2018-05-14,Wholesale,6,4.99,1.0,28.94,False
900019884,1102698,2018-05-18,Wholesale,53,8.99,1.8,474.67,False
900019884,1102692,2018-05-18,Retail,2,167.0,0.0,334.0,False
900019884,1102713,2018-05-21,Retail,2,899.0,0.0,1798.0,False
900019884,1102847,2018-06-11,Retail,1,12.0,0.0,12.0,False
900019884,1102894,2018-06-17,Retail,1,23.99,0.0,23.99,False
900019884,1102902,2018-06-17,Wholesale,11,13.99,2.8,151.09,False
900019884,1103033,2018-07-04,Wholesale,5,37.99,7.6,182.35,False
900019884,1103106,2018-07-13,Wholesale,8,13.99,2.8,109.12,False
900019884,1103128,2018-07-16,Retail,1,11.99,0.0,11.99,False
900019884,1103158,2018-07-19,Wholesale,9,15.5,3.1,136.4,False
900019884,1103237,2018-07-29,Retail,4,58.95,0.0,235.8,False
900019884,1103427,2018-08-24,Retail,1,4.99,0.0,4.99,False
